k,o_k,d_k,w_k,q_k,e_k,l_k
2,8,1,10,24.98,899,1260
4,11,9,4,31.1,840,1260
7,10,4,2,22.27,873,1260
8,3,6,5,32.37,648,1080
9,11,8,3,36.25,487,840
10,4,6,6,32.98,789,1080
11,14,9,2,29.49,686,1080
13,7,6,7,40.15,396,840
14,4,1,6,9.68,416,840
16,15,6,8,18.59,869,1260
17,15,2,6,13.66,732,1080
19,6,3,2,33.61,985,1260
20,8,10,7,19.43,994,1260
24,3,8,8,21.6,1062,1260
25,3,5,3,37.22,1071,1260
26,10,4,1,39.59,560,840
27,3,6,10,17.27,686,1080
29,4,9,3,11.55,405,840
30,9,5,3,35.61,688,1080
32,15,10,7,9.03,449,840
38,14,1,5,27.37,653,1080
41,11,5,3,8.96,550,840
43,13,10,5,5.43,543,840
44,1,7,7,25.92,559,840
45,5,10,2,24.93,1009,1260
47,13,5,8,15.77,769,1080
50,6,5,4,11.95,849,1260
51,12,4,9,11.87,966,1260
53,8,4,6,7.71,988,1260
55,11,7,2,38.08,584,840
56,2,1,2,6.29,823,1080
58,8,9,9,15.41,493,840
59,10,2,10,23.81,523,840
60,1,2,7,33.62,1022,1260
61,5,2,6,36.7,957,1260
64,12,7,2,8.16,845,1260
66,6,4,1,29.22,863,1260
69,11,9,10,13.5,859,1260
70,9,6,4,41.57,612,1080
71,1,8,1,20.07,904,1260
73,15,8,1,7.41,918,1260
76,15,2,5,21.66,801,1080
77,10,9,2,30.81,378,840
79,15,6,1,14.18,522,840
82,5,6,10,18.52,518,840
83,14,8,4,40.59,799,1080
84,13,8,9,24.29,803,1080
87,3,2,8,36.05,583,840
88,15,6,2,18.52,558,840
89,3,10,9,38.13,919,1260
91,9,1,8,24.35,927,1260
97,1,6,1,33.08,698,1080
98,3,5,10,39.19,417,840
99,8,2,3,38.21,494,840
104,11,9,5,7.06,740,1080
106,6,8,10,12.73,558,840
107,15,9,3,32.94,744,1080
108,6,10,7,37.3,995,1260
110,14,8,7,35.24,835,1080
112,4,9,7,30.31,511,840
118,9,7,1,25.77,426,840
119,1,8,3,16.96,864,1260
122,6,9,8,5.08,368,840
123,10,8,1,7.16,451,840
124,5,7,8,18.2,685,1080
125,15,5,7,32.13,416,840
128,9,8,6,13.44,621,1080
129,3,6,3,36.55,367,840
130,2,3,10,4.46,437,840
