i,j,cost,travel_time
1,1, -   , -   
1,2,2.43,21
1,3,2.94,25
1,4,4.13,35
1,5,4.64,39
1,6,6.35,53
1,7,4.79,40
1,8,7.67,64
1,9,6.05,50
1,10,2.8,24
1,11,4.86,41
1,12,2.61,22
1,13,3.67,31
1,14,1.31,11
1,15,2.65,22
1,16,3.92,33
1,17,6.32,53
1,18,6.28,52
1,19,5.69,47
1,20,6.07,51
1,21,3.73,31
1,22,5.07,42
1,23,7.64,64
1,24,5.21,44
1,25,4.88,41
2,1,2.43,21
2,2, -   , -   
2,3,3.82,32
2,4,2.75,23
2,5,4.92,41
2,6,4.54,38
2,7,2.49,21
2,8,6.46,54
2,9,7.24,60
2,10,2.66,22
2,11,2.84,24
2,12,2.32,20
2,13,1.33,11
2,14,3.72,31
2,15,5.04,42
2,16,5.35,45
2,17,6.86,57
2,18,6.07,51
2,19,4.86,41
2,20,4.54,38
2,21,5.79,48
2,22,6.75,56
2,23,7.66,64
2,24,2.79,24
2,25,3.91,33
3,1,2.94,25
3,2,3.82,32
3,3, -   , -   
3,4,3.21,27
3,5,1.79,15
3,6,5.32,44
3,7,5.02,42
3,8,5.67,47
3,9,3.42,29
3,10,1.47,13
3,11,6.65,55
3,12,5.29,44
3,13,5.06,42
3,14,3.47,29
3,15,3.45,29
3,16,1.65,14
3,17,3.39,28
3,18,3.57,30
3,19,3.57,30
3,20,4.71,39
3,21,6.05,50
3,22,3.11,26
3,23,4.76,40
3,24,6.12,51
3,25,7.44,62
4,1,4.13,35
4,2,2.75,23
4,3,3.21,27
4,4, -   , -   
4,5,3.18,27
4,6,2.27,19
4,7,2.14,18
4,8,3.73,31
4,9,6.04,50
4,10,1.82,16
4,11,4.82,40
4,12,5.05,42
4,13,3.24,27
4,14,5.34,45
4,15,6.1,51
4,16,4.8,40
4,17,5.02,42
4,18,3.67,31
4,19,2.19,19
4,20,1.95,17
4,21,7.86,65
4,22,6.23,52
4,23,5.32,44
4,24,3.54,30
4,25,6.52,54
5,1,4.64,39
5,2,4.92,41
5,3,1.79,15
5,4,3.18,27
5,5, -   , -   
5,6,4.72,39
5,7,5.31,44
5,8,4.32,36
5,9,2.91,25
5,10,2.27,19
5,11,7.6,63
5,12,6.77,56
5,13,5.95,50
5,14,5.26,44
5,15,5.13,43
5,16,2.39,20
5,17,1.95,17
5,18,1.82,16
5,19,2.36,20
5,20,3.96,33
