i,j, cost , travel_time 
1,1, -   , -   
1,2, 2.43 , 21.00 
1,3, 2.94 , 25.00 
1,4, 4.13 , 35.00 
1,5, 4.64 , 39.00 
1,6, 6.35 , 53.00 
1,7, 4.79 , 40.00 
1,8, 7.67 , 64.00 
1,9, 6.05 , 50.00 
1,10, 2.80 , 24.00 
1,11, 4.86 , 41.00 
1,12, 2.61 , 22.00 
1,13, 3.67 , 31.00 
1,14, 1.31 , 11.00 
1,15, 2.65 , 22.00 
2,1, 2.43 , 21.00 
2,2, -   , -   
2,3, 3.82 , 32.00 
2,4, 2.75 , 23.00 
2,5, 4.92 , 41.00 
2,6, 4.54 , 38.00 
2,7, 2.49 , 21.00 
2,8, 6.46 , 54.00 
2,9, 7.24 , 60.00 
2,10, 2.66 , 22.00 
2,11, 2.84 , 24.00 
2,12, 2.32 , 20.00 
2,13, 1.33 , 11.00 
2,14, 3.72 , 31.00 
2,15, 5.04 , 42.00 
3,1, 2.94 , 25.00 
3,2, 3.82 , 32.00 
3,3, -   , -   
3,4, 3.21 , 27.00 
3,5, 1.79 , 15.00 
3,6, 5.32 , 44.00 
3,7, 5.02 , 42.00 
3,8, 5.67 , 47.00 
3,9, 3.42 , 29.00 
3,10, 1.47 , 13.00 
3,11, 6.65 , 55.00 
3,12, 5.29 , 44.00 
3,13, 5.06 , 42.00 
3,14, 3.47 , 29.00 
3,15, 3.45 , 29.00 
4,1, 4.13 , 35.00 
4,2, 2.75 , 23.00 
4,3, 3.21 , 27.00 
4,4, -   , -   
4,5, 3.18 , 27.00 
4,6, 2.27 , 19.00 
4,7, 2.14 , 18.00 
4,8, 3.73 , 31.00 
4,9, 6.04 , 50.00 
4,10, 1.82 , 16.00 
4,11, 4.82 , 40.00 
4,12, 5.05 , 42.00 
4,13, 3.24 , 27.00 
4,14, 5.34 , 45.00 
4,15, 6.10 , 51.00 
5,1, 4.64 , 39.00 
5,2, 4.92 , 41.00 
5,3, 1.79 , 15.00 
5,4, 3.18 , 27.00 
5,5, -   , -   
5,6, 4.72 , 39.00 
5,7, 5.31 , 44.00 
5,8, 4.32 , 36.00 
5,9, 2.91 , 25.00 
5,10, 2.27 , 19.00 
5,11, 7.60 , 63.00 
5,12, 6.77 , 56.00 
5,13, 5.95 , 50.00 
5,14, 5.26 , 44.00 
5,15, 5.13 , 43.00 
6,1, 6.35 , 53.00 
6,2, 4.54 , 38.00 
6,3, 5.32 , 44.00 
6,4, 2.27 , 19.00 
6,5, 4.72 , 39.00 
6,6, -   , -   
6,7, 2.52 , 21.00 
6,8, 2.54 , 22.00 
6,9, 7.61 , 63.00 
6,10, 4.05 , 34.00 
6,11, 5.61 , 47.00 
6,12, 6.80 , 57.00 
6,13, 4.42 , 37.00 
6,14, 7.59 , 63.00 
6,15, 8.37 , 70.00 
7,1, 4.79 , 40.00 
7,2, 2.49 , 21.00 
7,3, 5.02 , 42.00 
7,4, 2.14 , 18.00 
7,5, 5.31 , 44.00 
7,6, 2.52 , 21.00 
7,7, -   , -   
7,8, 4.93 , 41.00 
7,9, 8.12 , 68.00 
7,10, 3.55 , 30.00 
7,11, 3.12 , 26.00 
7,12, 4.51 , 38.00 
7,13, 1.96 , 17.00 
7,14, 6.10 , 51.00 
7,15, 7.25 , 60.00 
8,1, 7.67 , 64.00 
8,2, 6.46 , 54.00 
8,3, 5.67 , 47.00 
8,4, 3.73 , 31.00 
8,5, 4.32 , 36.00 
8,6, 2.54 , 22.00 
8,7, 4.93 , 41.00 
8,8, -   , -   
8,9, 6.78 , 56.00 
8,10, 4.93 , 41.00 
8,11, 8.05 , 67.00 
8,12, 8.78 , 73.00 
8,13, 6.69 , 56.00 
8,14, 8.73 , 73.00 
8,15, 9.10 , 76.00 
9,1, 6.05 , 50.00 
9,2, 7.24 , 60.00 
9,3, 3.42 , 29.00 
9,4, 6.04 , 50.00 
9,5, 2.91 , 25.00 
9,6, 7.61 , 63.00 
9,7, 8.12 , 68.00 
9,8, 6.78 , 56.00 
9,9, -   , -   
9,10, 4.71 , 39.00 
9,11, 10.06 , 84.00 
9,12, 8.59 , 72.00 
9,13, 8.44 , 70.00 
9,14, 6.04 , 50.00 
9,15, 5.11 , 43.00 
10,1, 2.80 , 24.00 
10,2, 2.66 , 22.00 
10,3, 1.47 , 13.00 
10,4, 1.82 , 16.00 
10,5, 2.27 , 19.00 
10,6, 4.05 , 34.00 
10,7, 3.55 , 30.00 
10,8, 4.93 , 41.00 
10,9, 4.71 , 39.00 
10,10, -   , -   
10,11, 5.40 , 45.00 
10,12, 4.57 , 38.00 
10,13, 3.76 , 32.00 
10,14, 3.80 , 32.00 
10,15, 4.34 , 36.00 
