i,j, cost , travel_time 
1,1,0,0
1,2,2.43,21
1,3,2.94,25
1,4,4.13,35
1,5,4.64,39
2,1,2.43,21
2,2,0,0
2,3,3.82,32
2,4,2.75,23
2,5,4.92,41
3,1,2.94,25
3,2,3.82,32
3,3,0,0
3,4,3.21,27
3,5,1.79,15
4,1,4.13,35
4,2,2.75,23
4,3,3.21,27
4,4,0,0
4,5,3.18,27
5,1,4.64,39
5,2,4.92,41
5,3,1.79,15
5,4,3.18,27
5,5,0,0
1,60,0.97,2.67
2,60,0.38,1.33
3,60,1.11,3.33
4,60,0.52,1.67
5,60,1.26,3.67
1,65,0.43,1.33
2,65,0.88,2.67
3,65,0.39,1.33
4,65,1.02,3
5,65,0.84,2.33
1,70,0.43,1.33
2,70,0.42,1.33
3,70,1.08,3
4,70,1.08,3
5,70,1.45,4
1,75,1.77,5
2,75,2.08,6
3,75,1.13,3.33
4,75,1.77,5
5,75,0.98,3
1,80,1.16,3.33
2,80,1.09,3.33
3,80,0.56,1.67
4,80,0.55,1.67
5,80,0.28,1
1,85,1.75,5
2,85,1.5,4.33
3,85,1.2,3.33
4,85,0.82,2.33
5,85,0.85,2.67
1,90,0.79,2.33
2,90,0.43,1.33
3,90,1.34,4
4,90,1.1,3.33
5,90,1.65,4.67
1,95,1.1,3.33
2,95,0.61,2
3,95,1.03,3
4,95,0.28,1
5,95,1.07,3
1,100,1.74,5
2,100,1.38,4
3,100,1.32,3.67
4,100,0.71,2
5,100,1.06,3
1,105,1.21,3.33
2,105,1.6,4.67
3,105,0.67,2
4,105,1.44,4
5,105,0.77,2.33
1,110,1.54,4.33
2,110,1.82,5.33
3,110,0.87,2.67
4,110,1.5,4.33
5,110,0.72,2
1,115,0.97,2.67
2,115,1.33,3.67
3,115,1.67,4.67
4,115,1.94,5.67
5,115,2.11,6
1,120,0.82,2.33
2,120,1.38,4
3,120,1.34,4
4,120,1.84,5.33
5,120,1.78,5
1,120,0.82,2.33
2,120,1.38,4
3,120,1.34,4
4,120,1.84,5.33
5,120,1.78,5
1,125,1.12,3.33
2,125,0.58,1.67
3,125,1.52,4.33
4,125,1.04,3
5,125,1.75,5
1,130,1.26,3.67
2,130,1.46,4.33
3,130,0.54,1.67
4,130,1.11,3.33
5,130,0.32,1
1,135,0.52,1.67
2,135,1.09,3.33
3,135,1.08,3
4,135,1.55,4.33
5,135,1.53,4.33
1,140,1.02,3
2,140,0.89,2.67
3,140,1.7,5
4,140,1.58,4.67
5,140,2.07,6
1,145,1.76,5
2,145,1.44,4
3,145,1.3,3.67
4,145,0.76,2.33
5,145,1.01,3
1,150,0.74,2.33
2,150,1.31,3.67
3,150,0.75,2.33
4,150,1.48,4.33
5,150,1.14,3.33
